2018-02-21 12:16:52,227 INFO     Fold: 1, epoch: 0, batch: 14, Loss: 30.977207, Accuracy: 50.00000
2018-02-21 12:16:52,248 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr15.pickle 
2018-02-21 12:16:52,340 INFO     DATA FORMATTER: Retrieved the pickle file tr15.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:17:07,783 INFO     Fold: 1, epoch: 0, batch: 15, Loss: 19.709637, Accuracy: 42.18750
2018-02-21 12:17:07,802 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr16.pickle 
2018-02-21 12:17:07,892 INFO     DATA FORMATTER: Retrieved the pickle file tr16.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:17:23,080 INFO     Fold: 1, epoch: 0, batch: 16, Loss: 20.059141, Accuracy: 48.43750
2018-02-21 12:17:23,100 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr17.pickle 
2018-02-21 12:17:23,184 INFO     DATA FORMATTER: Retrieved the pickle file tr17.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:17:38,069 INFO     Fold: 1, epoch: 0, batch: 17, Loss: 24.597919, Accuracy: 48.43750
2018-02-21 12:17:38,091 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr18.pickle 
2018-02-21 12:17:38,177 INFO     DATA FORMATTER: Retrieved the pickle file tr18.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:17:53,225 INFO     Fold: 1, epoch: 0, batch: 18, Loss: 22.522333, Accuracy: 43.75000
2018-02-21 12:17:53,244 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr19.pickle 
2018-02-21 12:17:53,331 INFO     DATA FORMATTER: Retrieved the pickle file tr19.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:18:08,656 INFO     Fold: 1, epoch: 0, batch: 19, Loss: 10.345589, Accuracy: 54.68750
2018-02-21 12:18:08,677 INFO     CHECKPOINT SAVER: Saving model updated parameters
2018-02-21 12:18:14,987 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr20.pickle 
2018-02-21 12:18:15,067 INFO     DATA FORMATTER: Retrieved the pickle file tr20.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:18:28,934 INFO     Fold: 1, epoch: 0, batch: 20, Loss: 22.558365, Accuracy: 46.87500
2018-02-21 12:18:28,957 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr21.pickle 
